Joint13 X:-0.078331, Y:-0.930037, Z:1.346283
Joint14 X:-0.158641, Y:-1.410355, Z:1.382052
Joint15 X:-0.169111, Y:-1.445425, Z:1.252937
Joint16 X:0.157698, Y:-0.491836, Z:1.345426
Joint17 X:0.244074, Y:-0.928391, Z:1.285676
Joint18 X:0.340324, Y:-1.407928, Z:1.252066
Joint19 X:0.342866, Y:-1.432003, Z:1.118882
Joint20 X:0.063116, Y:0.013291, Z:1.361506
Joint21 X:-0.137423, Y:-0.652335, Z:1.336084
Joint22 X:-0.083544, Y:-0.546247, Z:1.302843
Joint23 X:0.357955, Y:-0.644048, Z:1.252457
Joint24 X:0.394583, Y:-0.584055, Z:1.274846
Joint0 X:0.127450, Y:-0.505894, Z:1.376436
Joint1 X:0.101179, Y:-0.205956, Z:1.375436
Joint2 X:0.076378, Y:0.084694, Z:1.355800
Joint3 X:0.060152, Y:0.240956, Z:1.294875
Joint4 X:-0.081566, Y:-0.027981, Z:1.406377
Joint5 X:-0.099534, Y:-0.303270, Z:1.425756
Joint6 X:-0.124543, Y:-0.535234, Z:1.367129
Joint7 X:-0.119614, Y:-0.608327, Z:1.349963
Joint8 X:0.254179, Y:-0.005600, Z:1.348284
Joint9 X:0.393149, Y:-0.238919, Z:1.356000
Joint10 X:0.507348, Y:-0.445300, Z:1.275926
Joint11 X:0.529746, Y:-0.511116, Z:1.256458
Joint12 X:0.044806, Y:-0.503585, Z:1.354912
Joint13 X:0.011997, Y:-0.947758, Z:1.324443
Joint14 X:-0.022181, Y:-1.435961, Z:1.322863
Joint15 X:-0.045322, Y:-1.464520, Z:1.193214
Joint16 X:0.205171, Y:-0.484523, Z:1.333367
Joint17 X:0.322441, Y:-0.913484, Z:1.296528
Joint18 X:0.453023, Y:-1.384960, Z:1.287987
Joint19 X:0.442100, Y:-1.415608, Z:1.156981
Joint20 X:0.081952, Y:0.013158, Z:1.364166
Joint21 X:-0.117310, Y:-0.674887, Z:1.331331
Joint22 X:-0.091734, Y:-0.590770, Z:1.364931
Joint23 X:0.541857, Y:-0.578050, Z:1.244167
Joint24 X:0.557778, Y:-0.522170, Z:1.256800
Joint0 X:0.148866, Y:-0.506804, Z:1.377425
Joint1 X:0.119371, Y:-0.208607, Z:1.376357
Joint2 X:0.089960, Y:0.080276, Z:1.358380
Joint3 X:0.044607, Y:0.233659, Z:1.307340
Joint4 X:-0.066667, Y:-0.050686, Z:1.429609
Joint5 X:-0.047065, Y:-0.317456, Z:1.424205
Joint6 X:-0.058647, Y:-0.551156, Z:1.369503
Joint7 X:-0.035256, Y:-0.609039, Z:1.354769
Joint8 X:0.266452, Y:0.005648, Z:1.349077
Joint9 X:0.491143, Y:-0.133602, Z:1.338032
Joint10 X:0.677917, Y:-0.257525, Z:1.250682
Joint11 X:0.755796, Y:-0.305052, Z:1.207322
Joint12 X:0.066977, Y:-0.506355, Z:1.362543
Joint13 X:0.011755, Y:-0.948781, Z:1.322152
Joint14 X:-0.045996, Y:-1.435048, Z:1.309608
Joint15 X:-0.078526, Y:-1.460856, Z:1.181464
