Joint12 X:-0.075880, Y:-0.446956, Z:1.358521
Joint13 X:-0.040901, Y:-0.890012, Z:1.332715
Joint14 X:-0.016880, Y:-1.212541, Z:1.331903
Joint15 X:-0.012962, Y:-1.243795, Z:1.193248
Joint16 X:0.101589, Y:-0.441548, Z:1.350696
Joint17 X:0.121304, Y:-0.884060, Z:1.342815
Joint18 X:0.136748, Y:-1.206249, Z:1.355142
Joint19 X:0.136326, Y:-1.242950, Z:1.218824
Joint20 X:-0.000576, Y:0.137508, Z:1.478161
Joint21 X:-0.266665, Y:-0.295687, Z:1.801164
Joint22 X:-0.258139, Y:-0.310889, Z:1.789247
Joint23 X:0.240961, Y:-0.286518, Z:1.780276
Joint24 X:0.240369, Y:-0.283931, Z:1.768546
Joint0 X:0.013189, Y:-0.455065, Z:1.387561
Joint1 X:0.005211, Y:-0.111444, Z:1.445449
Joint2 X:-0.002363, Y:0.217871, Z:1.485989
Joint3 X:-0.009048, Y:0.367078, Z:1.519323
Joint4 X:-0.171847, Y:0.034597, Z:1.452708
Joint5 X:-0.319100, Y:-0.166795, Z:1.546006
Joint6 X:-0.274622, Y:-0.264418, Z:1.740083
Joint7 X:-0.260604, Y:-0.297304, Z:1.808431
Joint8 X:0.188208, Y:0.041272, Z:1.447381
Joint9 X:0.364416, Y:-0.140079, Z:1.543736
Joint10 X:0.270107, Y:-0.248692, Z:1.715829
Joint11 X:0.239601, Y:-0.285171, Z:1.776809
Joint12 X:-0.075870, Y:-0.446994, Z:1.358627
Joint13 X:-0.044729, Y:-0.890372, Z:1.334169
Joint14 X:-0.023459, Y:-1.213043, Z:1.334343
Joint15 X:-0.020094, Y:-1.244737, Z:1.195814
Joint16 X:0.101646, Y:-0.441599, Z:1.350878
Joint17 X:0.121166, Y:-0.884238, Z:1.343207
Joint18 X:0.136466, Y:-1.206423, Z:1.355680
Joint19 X:0.136011, Y:-1.243202, Z:1.219358
Joint20 X:-0.000522, Y:0.137469, Z:1.478273
Joint21 X:-0.262140, Y:-0.293620, Z:1.801511
Joint22 X:-0.256586, Y:-0.310140, Z:1.789381
Joint23 X:0.240945, Y:-0.286718, Z:1.780369
Joint24 X:0.240351, Y:-0.283973, Z:1.768553
Joint0 X:0.013176, Y:-0.455058, Z:1.387569
Joint1 X:0.005216, Y:-0.111441, Z:1.445457
Joint2 X:-0.002324, Y:0.217870, Z:1.486048
Joint3 X:-0.008965, Y:0.367081, Z:1.519410
Joint4 X:-0.171812, Y:0.034584, Z:1.452724
Joint5 X:-0.319291, Y:-0.166525, Z:1.545999
Joint6 X:-0.274855, Y:-0.264513, Z:1.739907
Joint7 X:-0.260851, Y:-0.297520, Z:1.808198
Joint8 X:0.188211, Y:0.041287, Z:1.447414
Joint9 X:0.364411, Y:-0.140027, Z:1.543736
Joint10 X:0.270104, Y:-0.248638, Z:1.715825
Joint11 X:0.239599, Y:-0.285116, Z:1.776804
