Joint5 X:-0.310231, Y:-0.148970, Z:1.502045
Joint6 X:-0.242931, Y:-0.345510, Z:1.510787
Joint7 X:-0.182136, Y:-0.380746, Z:1.488438
Joint8 X:0.185613, Y:0.038096, Z:1.456290
Joint9 X:0.352941, Y:-0.145727, Z:1.518357
Joint10 X:0.253105, Y:-0.325810, Z:1.467019
Joint11 X:0.203608, Y:-0.346268, Z:1.404042
Joint12 X:-0.070592, Y:-0.459006, Z:1.401184
Joint13 X:-0.037614, Y:-0.886974, Z:1.366689
Joint14 X:-0.003424, Y:-1.365390, Z:1.364439
Joint15 X:-0.005614, Y:-1.390424, Z:1.227618
Joint16 X:0.094602, Y:-0.452880, Z:1.388185
Joint17 X:0.102330, Y:-0.881485, Z:1.361724
Joint18 X:0.113187, Y:-1.360531, Z:1.368503
Joint19 X:0.105521, Y:-1.387497, Z:1.232615
Joint20 X:0.007580, Y:0.113206, Z:1.480790
Joint21 X:-0.198959, Y:-0.467016, Z:1.467826
Joint22 X:-0.263304, Y:-0.358066, Z:1.557392
Joint23 X:0.194772, Y:-0.429681, Z:1.363770
Joint24 X:0.174989, Y:-0.313510, Z:1.356430
Joint0 X:0.012276, Y:-0.468059, Z:1.431362
Joint1 X:0.009626, Y:-0.130899, Z:1.466186
Joint2 X:0.006961, Y:0.191620, Z:1.482066
Joint3 X:-0.000889, Y:0.317609, Z:1.510554
Joint4 X:-0.173761, Y:0.029087, Z:1.477471
Joint5 X:-0.310332, Y:-0.149160, Z:1.502024
Joint6 X:-0.244145, Y:-0.346027, Z:1.510332
Joint7 X:-0.181526, Y:-0.380751, Z:1.486286
Joint8 X:0.185515, Y:0.038112, Z:1.456262
Joint9 X:0.353005, Y:-0.145625, Z:1.518348
Joint10 X:0.254103, Y:-0.325835, Z:1.465719
Joint11 X:0.203561, Y:-0.345499, Z:1.403193
Joint12 X:-0.070637, Y:-0.459110, Z:1.401132
Joint13 X:-0.037574, Y:-0.887063, Z:1.366750
Joint14 X:-0.003164, Y:-1.367315, Z:1.364661
Joint15 X:-0.005465, Y:-1.392363, Z:1.227872
Joint16 X:0.094599, Y:-0.453013, Z:1.388114
Joint17 X:0.107302, Y:-0.881502, Z:1.360911
Joint18 X:0.123648, Y:-1.362273, Z:1.366937
Joint19 X:0.116488, Y:-1.389087, Z:1.230993
Joint20 X:0.007617, Y:0.112999, Z:1.480830
Joint21 X:-0.195683, Y:-0.468656, Z:1.462071
Joint22 X:-0.263081, Y:-0.357794, Z:1.556173
Joint23 X:0.196001, Y:-0.429478, Z:1.365140
Joint24 X:0.175641, Y:-0.313485, Z:1.356261
Joint0 X:0.012282, Y:-0.468150, Z:1.431355
Joint1 X:0.009604, Y:-0.130998, Z:1.466191
Joint2 X:0.006893, Y:0.191502, Z:1.482093
Joint3 X:-0.000930, Y:0.317628, Z:1.510696
Joint4 X:-0.173815, Y:0.029228, Z:1.477532
Joint5 X:-0.310308, Y:-0.149180, Z:1.502118
Joint6 X:-0.244898, Y:-0.346269, Z:1.510000
Joint7 X:-0.181898, Y:-0.383609, Z:1.488608
